id,title,like_count,view_count,comment_count,duration,upload_date,has_caption,url,channel_id,transcript
45,[ENG]역대급 반전 리액션ㅋㅋ K-수능을 처음 맛본 유학생 반응!!|댓변인들|,29,1102,5,12분 53초,2024-01-03 8:30,1,https://www.youtube.com/watch?v=rZ2iDCcX5rg,1,
46,[시대클라쓰] 연말에 이것만 알면 숨겨진 월급을 찾을 수 있다고?!| 최원석 교수 | 세무학과 | 홍보대사 이루미,28,816,3,7분 36초,2023-12-29 1:00,1,https://www.youtube.com/watch?v=MzvngdkarMM,1,
47,[시대클라쓰] 중요한건 크기? 대도시 서울이 나아갈 새로운 미래(feat. 메가시티 글로벌시티) | 남기범 교수 | 도시사회학과 | 홍보대사 이루미,17,940,2,7분 49초,2023-12-22 5:00,1,https://www.youtube.com/watch?v=mruCkKkLHVA,1,
48,대학원생 글로벌 취창업 탐방 프로그램 동영상,6,666,1,5분 50초,2023-12-20 6:00,1,https://www.youtube.com/watch?v=8JwDrE1gReA,1,
49,슬기로운 시대생활ㅣ서울시립대 홍보대사 이루미,31,2386,4,1분 43초,2023-12-08 9:00,1,https://www.youtube.com/watch?v=dWYptQxh0uE,1,
50,『cookie』 - 서울시립대 디자인학과 산업디자인전공 2023 졸업 전시회 오픈식,5,491,1,2분 4초,2023-12-06 1:00,1,https://www.youtube.com/watch?v=4MkCS5O6lDk,1,
51,『cookie』 - 서울시립대 디자인학과 산업디자인전공 2023 졸업 전시회 다큐멘터리,8,774,0,5분 53초,2023-12-06 0:54,1,https://www.youtube.com/watch?v=878jTCjZSUM,1,
52,뮤지컬 30년 뮤잘알 끝판왕 | 시립대의 천재들 ep. 10 | 공연 칼럼니스트 박병성(국문 93) | SNS홍보대사 시:선,12,476,0,6분 30초,2023-12-01 4:56,1,https://www.youtube.com/watch?v=YSULdz3p86A,1,
53,[ENG]서울시립대 이게 맞아요?...웃수저 총장님의 숨겨진 개그 본능🤣 |댓변인들|,47,2024,9,10분 10초,2023-11-29 7:00,1,https://www.youtube.com/watch?v=02jV5Rkaius,1,
54,서울시립대학교 박물관 글로벌 시민강좌 4 Japanese Colonial Times,3,277,0,12분 15초,2023-11-23 4:56,1,https://www.youtube.com/watch?v=ukdOWDiB4I0,1,
